OrderID,OrderDate,CustomerID,Product,Qty,UnitPrice,State
1001,7/24/2026,C10001,Laptop,1,899.99,NJ
1002,7/24/2026,C10002,Mouse,2,24.99,NY
1003,7/24/2026,C10003,Keyboard,1,79.99,PA
1004,7/24/2026,C10004,Monitor,2,249.99,NJ
1005,7/24/2026,C10005,Dock,1,189.99,CT
1006,7/24/2026,C10006,Webcam,3,59.99,MA
1007,7/24/2026,C10007,Headset,1,129.99,NY
1008,7/24/2026,C10008,USB Hub,2,39.99,NJ
1009,7/24/2026,C10009,SSD,1,149.99,PA
1010,7/24/2026,C10010,Printer,1,299.99,NJ
1011,7/24/2026,(blank),Mouse,1,25,NY
1012,bad-date,C10012,Laptop,1,900,NJ
1013,7/24/2026,C10013,Keyboard,-2,79.99,NJ
1014,7/24/2026,C10014,Monitor,1,-50,NJ
1001,7/24/2026,C10001,Laptop,1,899.99,NJ
